date,XCO2_ppm
2014-10-01,397.232
2014-11-01,397.384
2014-12-01,396.921
2015-01-01,396.667
2015-02-01,397.303
2015-03-01,396.325
2015-04-01,397.675
2015-05-01,399.095
2015-06-01,399.253
2015-07-01,399.51
2015-08-01,399.39
2015-09-01,399.971
2015-10-01,400.325
2015-11-01,400.847
2015-12-01,400.827
2016-01-01,401.625
2016-02-01,401.742
2016-03-01,401.624
2016-04-01,401.974
2016-05-01,401.512
2016-06-01,402.42
2016-07-01,402.435
2016-08-01,402.247
2016-09-01,403.202
2016-10-01,404.856
2016-11-01,402.828
2016-12-01,402.842
2017-01-01,401.714
2017-02-01,401.995
2017-03-01,402.655
2017-04-01,403.328
2017-05-01,404.303
2017-06-01,404.73
2017-07-01,403.96
2017-08-01,406.64
2017-09-01,406.146
2017-10-01,405.279
2017-11-01,404.677
2017-12-01,404.867
2018-01-01,403.917
2018-02-01,404.554
2018-03-01,405.894
2018-04-01,406.03
2018-05-01,406.285
2018-06-01,406.773
2018-07-01,406.845
2018-08-01,406.666
2018-09-01,407.043
2018-10-01,407.247
2018-11-01,407.409
2018-12-01,406.628
2019-01-01,405.877
2019-02-01,406.765
2019-03-01,407.657
2019-04-01,408.195
2019-05-01,409.576
2019-06-01,409.803
2019-07-01,409.729
2019-08-01,408.395
2019-09-01,409.803
2019-10-01,411.302
2019-11-01,410.086
2019-12-01,410.449
2020-01-01,409.366
2020-02-01,411.337
2020-03-01,409.714
2020-04-01,410.283
2020-05-01,410.347
2020-06-01,411.652
2020-07-01,412.032
2020-08-01,411.307
2020-09-01,411.185
2020-10-01,412.573
2020-11-01,412.625
2020-12-01,412.205
2021-01-01,412.119
2021-02-01,411.291
2021-03-01,412.198
2021-04-01,412.69
2021-05-01,412.445
2021-06-01,413.944
2021-07-01,413.415
2021-08-01,412.804
2021-09-01,414.776
2021-10-01,415.571
2021-11-01,415.611
2021-12-01,413.872
2022-01-01,413.867
2022-02-01,413.812
2022-03-01,414.396
2022-04-01,415.124
2022-05-01,414.634
2022-06-01,415.895
2022-07-01,416.581
2022-08-01,415.918
2022-09-01,415.781
2022-10-01,418.07
2022-11-01,416.525
2022-12-01,417.738
2023-01-01,415.997
2023-02-01,415.649
2023-03-01,416.788
2023-04-01,417.021
2023-05-01,418.598
2023-06-01,418.381
2023-07-01,417.967
2023-08-01,418.424
2023-09-01,419.555
2023-10-01,421.007
2023-11-01,421.455
2023-12-01,420.567
2024-01-01,420.669
2024-02-01,421.113
2024-03-01,420.017
2024-04-01,421.553
2024-05-01,421.681
2024-06-01,421.652
2024-07-01,421.414
2024-08-01,421.208
2024-09-01,423.04
2024-10-01,425.244
2024-11-01,424.535
2024-12-01,423.896
